,State_Name,Crop_Year,Whole Year,Summer,Kharif,Rabi
0,Andhra Pradesh,2000,0.67,0.6,0.66,0.72
1,Andhra Pradesh,2001,0.68,0.62,0.68,0.71
2,Andhra Pradesh,2002,0.62,0.6,0.61,0.66
3,Andhra Pradesh,2003,0.65,0.58,0.69,0.64
4,Andhra Pradesh,2004,0.65,0.6,0.65,0.69
5,Andhra Pradesh,2005,0.64,0.59,0.64,0.68
6,Andhra Pradesh,2006,0.69,0.6,0.73,0.71
7,Andhra Pradesh,2007,0.67,0.62,0.69,0.69
8,Andhra Pradesh,2008,0.68,0.63,0.7,0.71
9,Andhra Pradesh,2009,0.66,0.63,0.68,0.68
10,Andhra Pradesh,2010,0.68,0.62,0.74,0.68
11,Andhra Pradesh,2011,0.67,0.59,0.7,0.67
12,Andhra Pradesh,2012,0.64,0.6,0.65,0.67
13,Andhra Pradesh,2013,0.69,0.61,0.72,0.73
14,Andhra Pradesh,2014,0.68,0.57,0.75,0.68
15,Andhra Pradesh,2015,0.65,0.55,0.7,0.7
16,Andhra Pradesh,2016,0.69,0.55,0.77,0.73
17,Andhra Pradesh,2017,0.63,0.56,0.65,0.65
18,Arunachal Pradesh,2000,0.8,0.81,0.88,0.72
19,Arunachal Pradesh,2001,0.83,0.83,0.93,0.73
20,Arunachal Pradesh,2002,0.76,0.66,0.88,0.74
21,Arunachal Pradesh,2003,0.82,0.83,0.91,0.72
22,Arunachal Pradesh,2004,0.8,0.75,0.9,0.74
23,Arunachal Pradesh,2005,0.81,0.8,0.9,0.74
24,Arunachal Pradesh,2006,0.8,0.75,0.9,0.75
25,Arunachal Pradesh,2007,0.78,0.79,0.9,0.7
26,Arunachal Pradesh,2008,0.78,0.82,0.84,0.69
27,Arunachal Pradesh,2009,0.76,0.71,0.86,0.69
28,Arunachal Pradesh,2010,0.8,0.77,0.91,0.73
29,Arunachal Pradesh,2011,0.81,0.81,0.91,0.75
30,Arunachal Pradesh,2012,0.89,0.86,0.93,0.89
31,Arunachal Pradesh,2013,0.91,0.92,0.94,0.86
32,Arunachal Pradesh,2014,0.84,0.87,0.87,0.78
33,Arunachal Pradesh,2015,0.86,0.84,0.91,0.82
34,Arunachal Pradesh,2016,0.86,0.91,0.89,0.79
35,Arunachal Pradesh,2017,0.77,0.76,0.85,0.71
36,Assam,2000,0.75,0.66,0.84,0.75
37,Assam,2001,0.79,0.73,0.88,0.78
38,Assam,2002,0.69,0.51,0.8,0.78
39,Assam,2003,0.72,0.58,0.85,0.74
40,Assam,2004,0.74,0.58,0.86,0.78
41,Assam,2005,0.75,0.67,0.85,0.76
42,Assam,2006,0.75,0.61,0.84,0.8
43,Assam,2007,0.75,0.65,0.85,0.77
44,Assam,2008,0.68,0.6,0.69,0.76
45,Assam,2009,0.65,0.5,0.74,0.7
46,Assam,2010,0.75,0.61,0.84,0.78
47,Assam,2011,0.74,0.57,0.85,0.79
48,Assam,2012,0.8,0.62,0.84,0.87
49,Assam,2013,0.86,0.79,0.88,0.89
50,Assam,2014,0.74,0.68,0.84,0.72
51,Assam,2015,0.77,0.64,0.92,0.77
52,Assam,2016,0.79,0.73,0.91,0.74
53,Assam,2017,0.71,0.59,0.79,0.73
54,Bihar,2000,0.56,0.28,0.73,0.62
55,Bihar,2001,0.6,0.36,0.71,0.68
56,Bihar,2002,0.52,0.24,0.71,0.55
57,Bihar,2003,0.48,0.27,0.66,0.48
58,Bihar,2004,0.5,0.24,0.7,0.55
59,Bihar,2005,0.51,0.33,0.64,0.53
60,Bihar,2006,0.53,0.28,0.69,0.58
61,Bihar,2007,0.52,0.27,0.67,0.55
62,Bihar,2008,0.48,0.24,0.6,0.55
63,Bihar,2009,0.52,0.29,0.69,0.53
64,Bihar,2010,0.56,0.32,0.75,0.56
65,Bihar,2011,0.57,0.28,0.77,0.59
66,Bihar,2012,0.52,0.28,0.64,0.59
67,Bihar,2013,0.56,0.31,0.67,0.64
68,Bihar,2014,0.62,0.33,0.8,0.67
69,Bihar,2015,0.49,0.28,0.67,0.48
70,Bihar,2016,0.53,0.26,0.66,0.62
71,Bihar,2017,0.5,0.27,0.65,0.54
72,Chandigarh,2000,0.41,0.25,0.44,0.52
73,Chandigarh,2001,0.41,0.26,0.48,0.42
74,Chandigarh,2002,0.29,0.16,0.37,0.27
75,Chandigarh,2003,0.29,0.16,0.38,0.28
76,Chandigarh,2004,0.3,0.18,0.37,0.32
77,Chandigarh,2005,0.3,0.15,0.34,0.34
78,Chandigarh,2006,0.39,0.17,0.53,0.38
79,Chandigarh,2007,0.33,0.17,0.36,0.42
80,Chandigarh,2008,0.35,0.23,0.43,0.34
81,Chandigarh,2009,0.34,0.2,0.42,0.37
82,Chandigarh,2010,0.37,0.25,0.46,0.32
83,Chandigarh,2011,0.4,0.23,0.56,0.38
84,Chandigarh,2012,0.36,0.21,0.39,0.43
85,Chandigarh,2013,0.43,0.18,0.56,0.49
86,Chandigarh,2014,0.48,0.28,0.63,0.46
87,Chandigarh,2015,0.38,0.23,0.46,0.4
88,Chandigarh,2016,0.43,0.26,0.49,0.44
89,Chandigarh,2017,0.35,0.2,0.43,0.36
90,Chhattisgarh,2000,0.54,0.23,0.73,0.64
91,Chhattisgarh,2001,0.58,0.29,0.71,0.69
92,Chhattisgarh,2002,0.51,0.18,0.71,0.62
93,Chhattisgarh,2003,0.45,0.2,0.67,0.42
94,Chhattisgarh,2004,0.47,0.21,0.69,0.5
95,Chhattisgarh,2005,0.45,0.18,0.64,0.49
96,Chhattisgarh,2006,0.54,0.21,0.75,0.61
97,Chhattisgarh,2007,0.51,0.24,0.7,0.57
98,Chhattisgarh,2008,0.51,0.22,0.68,0.59
99,Chhattisgarh,2009,0.51,0.28,0.7,0.55
100,Chhattisgarh,2010,0.52,0.23,0.76,0.53
101,Chhattisgarh,2011,0.53,0.23,0.77,0.55
102,Chhattisgarh,2012,0.49,0.19,0.67,0.56
103,Chhattisgarh,2013,0.53,0.21,0.71,0.61
104,Chhattisgarh,2014,0.52,0.23,0.78,0.51
105,Chhattisgarh,2015,0.52,0.2,0.76,0.56
106,Chhattisgarh,2016,0.54,0.22,0.76,0.59
107,Chhattisgarh,2017,0.48,0.21,0.68,0.53
108,Goa,2000,0.72,0.65,0.9,0.66
109,Goa,2001,0.73,0.67,0.91,0.63
110,Goa,2002,0.74,0.73,0.91,0.61
111,Goa,2003,0.7,0.69,0.91,0.55
112,Goa,2004,0.69,0.65,0.9,0.56
113,Goa,2005,0.7,0.68,0.89,0.59
114,Goa,2006,0.69,0.64,0.9,0.57
115,Goa,2007,0.69,0.69,0.9,0.55
116,Goa,2008,0.7,0.62,0.9,0.59
117,Goa,2009,0.71,0.66,0.9,0.61
118,Goa,2010,0.71,0.67,0.91,0.6
119,Goa,2011,0.7,0.66,0.89,0.57
120,Goa,2012,0.73,0.69,0.91,0.64
121,Goa,2013,0.75,0.66,0.91,0.7
122,Goa,2014,0.73,0.73,0.85,0.64
123,Goa,2015,0.72,0.73,0.85,0.64
124,Goa,2016,0.73,0.69,0.86,0.65
125,Goa,2017,0.68,0.64,0.84,0.58
126,Gujarat,2000,0.43,0.26,0.65,0.38
127,Gujarat,2001,0.41,0.26,0.59,0.37
128,Gujarat,2002,0.37,0.25,0.53,0.29
129,Gujarat,2003,0.36,0.3,0.53,0.25
130,Gujarat,2004,0.38,0.29,0.61,0.26
131,Gujarat,2005,0.36,0.27,0.57,0.26
132,Gujarat,2006,0.41,0.26,0.67,0.28
133,Gujarat,2007,0.42,0.28,0.62,0.36
134,Gujarat,2008,0.42,0.26,0.65,0.32
135,Gujarat,2009,0.43,0.3,0.66,0.34
136,Gujarat,2010,0.44,0.27,0.71,0.32
137,Gujarat,2011,0.42,0.28,0.66,0.34
138,Gujarat,2012,0.4,0.25,0.6,0.35
139,Gujarat,2013,0.47,0.29,0.69,0.43
140,Gujarat,2014,0.47,0.29,0.73,0.36
141,Gujarat,2015,0.45,0.3,0.7,0.36
142,Gujarat,2016,0.5,0.3,0.76,0.43
143,Gujarat,2017,0.4,0.26,0.61,0.32
144,Haryana,2000,0.41,0.25,0.44,0.52
145,Haryana,2001,0.41,0.26,0.48,0.42
146,Haryana,2002,0.29,0.16,0.37,0.27
147,Haryana,2003,0.29,0.16,0.38,0.28
148,Haryana,2004,0.3,0.18,0.37,0.32
149,Haryana,2005,0.3,0.15,0.34,0.34
150,Haryana,2006,0.39,0.17,0.53,0.38
151,Haryana,2007,0.33,0.17,0.36,0.42
152,Haryana,2008,0.35,0.23,0.43,0.34
153,Haryana,2009,0.34,0.2,0.42,0.37
154,Haryana,2010,0.37,0.25,0.46,0.32
155,Haryana,2011,0.4,0.23,0.56,0.38
156,Haryana,2012,0.36,0.21,0.39,0.43
157,Haryana,2013,0.43,0.18,0.56,0.49
158,Haryana,2014,0.48,0.28,0.63,0.46
159,Haryana,2015,0.38,0.23,0.46,0.4
160,Haryana,2016,0.43,0.26,0.49,0.44
161,Haryana,2017,0.35,0.2,0.43,0.36
162,Himachal Pradesh,2000,0.37,0.27,0.48,0.35
163,Himachal Pradesh,2001,0.35,0.25,0.52,0.25
164,Himachal Pradesh,2002,0.29,0.16,0.4,0.28
165,Himachal Pradesh,2003,0.31,0.19,0.47,0.22
166,Himachal Pradesh,2004,0.27,0.2,0.41,0.21
167,Himachal Pradesh,2005,0.25,0.17,0.33,0.22
168,Himachal Pradesh,2006,0.31,0.2,0.5,0.2
169,Himachal Pradesh,2007,0.27,0.14,0.4,0.25
170,Himachal Pradesh,2008,0.33,0.22,0.51,0.2
171,Himachal Pradesh,2009,0.32,0.2,0.51,0.26
172,Himachal Pradesh,2010,0.32,0.25,0.5,0.18
173,Himachal Pradesh,2011,0.37,0.19,0.65,0.25
174,Himachal Pradesh,2012,0.37,0.29,0.4,0.39
175,Himachal Pradesh,2013,0.44,0.24,0.59,0.44
176,Himachal Pradesh,2014,0.49,0.32,0.74,0.38
177,Himachal Pradesh,2015,0.44,0.24,0.65,0.39
178,Himachal Pradesh,2016,0.55,0.35,0.76,0.47
179,Himachal Pradesh,2017,0.34,0.22,0.49,0.27
180,Jammu and Kashmir,2000,0.73,0.83,0.63,0.76
181,Jammu and Kashmir,2001,0.75,0.84,0.72,0.72
182,Jammu and Kashmir,2002,0.7,0.82,0.59,0.7
183,Jammu and Kashmir,2003,0.62,0.74,0.58,0.55
184,Jammu and Kashmir,2004,0.61,0.78,0.46,0.63
185,Jammu and Kashmir,2005,0.58,0.75,0.43,0.57
186,Jammu and Kashmir,2006,0.53,0.6,0.45,0.55
187,Jammu and Kashmir,2007,0.52,0.58,0.38,0.59
188,Jammu and Kashmir,2008,0.57,0.75,0.49,0.47
189,Jammu and Kashmir,2009,0.61,0.73,0.51,0.58
190,Jammu and Kashmir,2010,0.73,0.85,0.66,0.71
