,State_Name,Crop_Year,Whole Year,Summer,Kharif,Rabi
0,Andhra Pradesh,2000,34.77,38.85,35.98,30.75
1,Andhra Pradesh,2001,34.9,39.24,36.29,30.87
2,Andhra Pradesh,2002,36.26,40.44,36.84,31.98
3,Andhra Pradesh,2003,35.16,39.84,35.12,32.55
4,Andhra Pradesh,2004,35.5,40.23,35.93,31.41
5,Andhra Pradesh,2005,35.89,40.55,36.92,31.87
6,Andhra Pradesh,2006,34.68,40.07,34.65,30.83
7,Andhra Pradesh,2007,34.31,38.79,34.87,30.81
8,Andhra Pradesh,2008,34.72,38.86,35.52,30.72
9,Andhra Pradesh,2009,35.01,38.48,35.48,31.98
10,Andhra Pradesh,2010,34.64,39.39,34.32,31.82
11,Andhra Pradesh,2011,34.89,39.44,34.57,32.67
12,Andhra Pradesh,2012,35.79,39.67,36.66,32
13,Andhra Pradesh,2013,34.62,39.34,34.98,30.81
14,Andhra Pradesh,2014,35.09,40.68,33.78,32.46
15,Andhra Pradesh,2015,35.74,42.57,34.41,31.83
16,Andhra Pradesh,2016,34.42,41.37,32.67,31.02
17,Andhra Pradesh,2017,33.13,37.66,33.28,29.8
18,Arunachal Pradesh,2000,19.75,19.41,24.17,17.35
19,Arunachal Pradesh,2001,19.91,19.97,23.19,18.31
20,Arunachal Pradesh,2002,22.58,23.24,24.56,19.74
21,Arunachal Pradesh,2003,20.16,20.27,23.56,18.27
22,Arunachal Pradesh,2004,21.07,21.83,24.36,18.36
23,Arunachal Pradesh,2005,20.76,20.76,24,18.16
24,Arunachal Pradesh,2006,20.73,21.24,24.14,17.97
25,Arunachal Pradesh,2007,20.7,21.41,23.88,17.77
26,Arunachal Pradesh,2008,20.95,19.68,25.6,18.76
27,Arunachal Pradesh,2009,21.78,22.24,25.1,19.14
28,Arunachal Pradesh,2010,20.64,21.6,23.44,18.58
29,Arunachal Pradesh,2011,20.49,20.98,23.61,18.36
30,Arunachal Pradesh,2012,20.34,20.91,23.86,17.25
31,Arunachal Pradesh,2013,19.48,19.33,22.41,17.73
32,Arunachal Pradesh,2014,17.48,16.09,22.33,14.83
33,Arunachal Pradesh,2015,16.96,16.5,21.42,13.9
34,Arunachal Pradesh,2016,17.46,15.9,21.83,15.03
