,State_Name,Crop_Year,Whole Year,Summer,Kharif,Rabi
0,Andhra Pradesh,2000,18.7,21.43,18.83,16.4
1,Andhra Pradesh,2001,19.76,21.69,20.56,18.05
2,Andhra Pradesh,2002,20.47,23.98,18.67,18.97
3,Andhra Pradesh,2003,19.68,22.1,19.27,19.29
4,Andhra Pradesh,2004,19.07,21.32,18.48,17.32
5,Andhra Pradesh,2005,19.45,23.04,18,17.7
6,Andhra Pradesh,2006,19.21,22.51,18.09,17.78
7,Andhra Pradesh,2007,19.97,22.48,18.93,18.96
8,Andhra Pradesh,2008,19.04,21.78,18.02,17.43
9,Andhra Pradesh,2009,18.83,20.89,17.63,17.83
10,Andhra Pradesh,2010,19.1,21.42,18.35,17.83
11,Andhra Pradesh,2011,19.08,21.24,18.27,18.63
12,Andhra Pradesh,2012,19.9,23.18,19.02,18.03
13,Andhra Pradesh,2013,20.06,22.93,20.41,17.35
14,Andhra Pradesh,2014,19.87,22.67,18.07,19.31
15,Andhra Pradesh,2015,19.95,23.36,18.48,18.43
16,Andhra Pradesh,2016,19.57,23.79,18.08,17.4
17,Andhra Pradesh,2017,18.43,21.1,17.62,17.04
18,Arunachal Pradesh,2000,15.31,15.24,16.83,14.66
19,Arunachal Pradesh,2001,13.85,16.88,12.02,14.05
20,Arunachal Pradesh,2002,16.79,18.76,17.02,14.83
21,Arunachal Pradesh,2003,15.29,16.61,14.35,15.28
22,Arunachal Pradesh,2004,15.12,18.22,15.27,13.48
23,Arunachal Pradesh,2005,15.02,17.26,14.61,13.73
24,Arunachal Pradesh,2006,14.35,16.82,14.23,12.69
25,Arunachal Pradesh,2007,15.41,17.31,14.96,14.26
26,Arunachal Pradesh,2008,15.84,15.28,18.48,15.04
27,Arunachal Pradesh,2009,16.83,19.39,18.04,14.88
28,Arunachal Pradesh,2010,14.31,17.95,13.01,13.41
29,Arunachal Pradesh,2011,14.17,16.31,13.57,13.38
30,Arunachal Pradesh,2012,13.66,17.3,13.27,11.44
31,Arunachal Pradesh,2013,12.14,14.18,10.22,12.7
32,Arunachal Pradesh,2014,11.56,10.72,13.05,11.17
33,Arunachal Pradesh,2015,10.18,13.36,9.2,8.71
34,Arunachal Pradesh,2016,10.08,7.87,10.7,11.18
35,Arunachal Pradesh,2017,13.33,14.97,13.27,12.49
36,Assam,2000,18.42,22.33,18.97,15.77
37,Assam,2001,17.65,21.34,17.81,15.07
38,Assam,2002,18.9,21.81,19.88,14.72
39,Assam,2003,18.62,21.67,19.36,15.83
40,Assam,2004,18.41,22.07,19.14,14.98
41,Assam,2005,17.88,21.11,18.14,15.04
42,Assam,2006,18,22.08,18.76,14.27
43,Assam,2007,17.98,20.46,18.89,15.12
44,Assam,2008,19.68,23.24,21.99,15.21
45,Assam,2009,19.72,23.44,21.38,15.76
